Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,ACS18_5yr_B15003001,ACS18_5yr_B15003002,ACS18_5yr_B15003003,ACS18_5yr_B15003004,ACS18_5yr_B15003005,ACS18_5yr_B15003006,ACS18_5yr_B15003007,ACS18_5yr_B15003008,ACS18_5yr_B15003009,ACS18_5yr_B15003010,ACS18_5yr_B15003011,ACS18_5yr_B15003012,ACS18_5yr_B15003013,ACS18_5yr_B15003014,ACS18_5yr_B15003015,ACS18_5yr_B15003016,ACS18_5yr_B15003017,ACS18_5yr_B15003018,ACS18_5yr_B15003019,ACS18_5yr_B15003020,ACS18_5yr_B15003021,ACS18_5yr_B15003022,ACS18_5yr_B15003023,ACS18_5yr_B15003024,ACS18_5yr_B15003025,ACS18_5yr_B15003001s,ACS18_5yr_B15003002s,ACS18_5yr_B15003003s,ACS18_5yr_B15003004s,ACS18_5yr_B15003005s,ACS18_5yr_B15003006s,ACS18_5yr_B15003007s,ACS18_5yr_B15003008s,ACS18_5yr_B15003009s,ACS18_5yr_B15003010s,ACS18_5yr_B15003011s,ACS18_5yr_B15003012s,ACS18_5yr_B15003013s,ACS18_5yr_B15003014s,ACS18_5yr_B15003015s,ACS18_5yr_B15003016s,ACS18_5yr_B15003017s,ACS18_5yr_B15003018s,ACS18_5yr_B15003019s,ACS18_5yr_B15003020s,ACS18_5yr_B15003021s,ACS18_5yr_B15003022s,ACS18_5yr_B15003023s,ACS18_5yr_B15003024s,ACS18_5yr_B15003025s
"01001","05000US01001","Autauga County","Autauga County, Alabama","al","050","00","ACSSF","0000013",,,,,"01","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37166,287,0,0,23,0,70,22,3,122,108,321,840,892,849,667,10104,2015,2235,5319,2998,5903,3406,510,472,69.69697,66.66666,16.9697,16.9697,15.75758,16.9697,35.75758,21.21212,3.030303,44.24242,44.24242,84.24242,152.1212,112.1212,127.2727,102.4242,432.7273,195.7576,206.0606,332.7273,255.7576,370.303,253.3333,143.6364,115.1515
"01003","05000US01003","Baldwin County","Baldwin County, Alabama","al","050","00","ACSSF","0000014",,,,,"01","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146989,1355,14,46,0,0,61,227,96,515,343,1321,2012,3314,2742,2264,33308,7271,9930,22336,13759,30431,11338,2992,1314,170.9091,201.2121,12.72727,30.90909,16.9697,16.9697,26.66667,104.8485,35.75758,123.6364,83.63636,191.5152,333.9394,415.1515,292.7273,284.2424,956.3636,425.4546,447.8788,631.5151,609.0909,774.5455,504.2424,285.4546,161.8182
"01005","05000US01005","Barbour County","Barbour County, Alabama","al","050","00","ACSSF","0000015",,,,,"01","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18173,380,4,0,5,42,134,57,62,112,250,444,789,913,1134,575,5040,1446,1257,2030,1279,1417,606,92,105,49.09091,69.69697,4.242424,13.33333,7.272727,27.87879,38.78788,29.69697,23.63636,38.18182,61.21212,58.78788,92.72727,103.0303,95.75758,80,238.1818,119.3939,101.2121,141.8182,127.2727,126.0606,73.93939,28.48485,30.30303
"01007","05000US01007","Bibb County","Bibb County, Alabama","al","050","00","ACSSF","0000016",,,,,"01","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15780,284,0,18,0,0,41,5,22,163,127,243,440,490,676,141,5996,1475,752,2186,908,1197,442,87,87,180.6061,63.0303,13.33333,18.18182,13.33333,13.33333,29.09091,6.060606,20,68.48485,37.57576,56.9697,97.57576,89.69697,152.1212,40.60606,294.5454,155.7576,117.5758,215.1515,172.7273,225.4545,78.78788,40.60606,47.87879
"01009","05000US01009","Blount County","Blount County, Alabama","al","050","00","ACSSF","0000017",,,,,"01","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39627,692,12,2,0,50,27,127,135,834,228,860,1166,1689,1231,808,11245,2244,2844,5648,4775,3217,1405,240,148,83.63636,133.3333,11.51515,2.424242,16.9697,23.0303,15.15152,70.90909,52.72727,144.2424,56.36364,130.9091,140,221.2121,157.5758,109.697,295.7576,186.6667,246.6667,330.303,349.697,230.303,164.2424,54.54546,50.30303
"01011","05000US01011","Bullock County","Bullock County, Alabama","al","050","00","ACSSF","0000018",,,,,"01","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7104,86,0,0,0,0,1,0,62,34,110,53,126,216,615,457,2530,287,211,994,377,526,229,142,48,135.7576,45.45454,11.51515,11.51515,11.51515,11.51515,1.818182,11.51515,42.42424,23.63636,50.30303,31.51515,40,67.87878,141.2121,106.6667,340.606,84.24242,62.42424,180.6061,98.78788,87.87878,55.15152,58.78788,26.66667
"01013","05000US01013","Butler County","Butler County, Alabama","al","050","00","ACSSF","0000019",,,,,"01","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13888,212,0,0,10,9,0,27,4,67,85,173,411,323,448,372,5285,806,526,1820,1075,1344,655,136,100,53.33333,70.30303,13.33333,13.33333,12.12121,6.060606,13.33333,19.39394,6.060606,18.78788,37.57576,44.84848,103.0303,67.87878,81.81818,67.27273,216.9697,90.90909,98.78788,156.3636,116.9697,116.9697,89.09091,38.78788,32.12121
"01015","05000US01015","Calhoun County","Calhoun County, Alabama","al","050","00","ACSSF","0000020",,,,,"01","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79135,1024,21,0,0,0,153,136,222,503,618,1335,2023,2737,2381,1467,20714,4939,6068,14406,6169,8060,4372,987,800,60.60606,126.0606,19.39394,16.9697,16.9697,16.9697,51.51515,54.54546,70.90909,112.7273,104.2424,173.9394,221.2121,244.2424,200.6061,136.9697,589.697,270.303,337.5757,449.697,348.4849,389.697,276.9697,133.3333,120.6061
"01017","05000US01017","Chambers County","Chambers County, Alabama","al","050","00","ACSSF","0000021",,,,,"01","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23564,447,0,0,42,0,64,43,23,204,121,408,675,1018,744,594,7171,1889,1431,3554,2018,2200,602,245,71,78.18182,96.36364,15.15152,15.15152,29.09091,15.15152,32.12121,23.0303,23.63636,50.90909,38.18182,83.0303,102.4242,140,96.36364,112.1212,299.394,182.4242,126.0606,243.6364,195.7576,166.6667,83.63636,59.39394,24.24242
"01019","05000US01019","Cherokee County","Cherokee County, Alabama","al","050","00","ACSSF","0000022",,,,,"01","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18673,232,0,0,15,8,9,12,47,279,297,494,616,662,821,200,5867,1290,1106,2895,1416,1273,665,358,111,79.39394,49.09091,13.33333,13.33333,14.54545,7.878788,8.484848,12.72727,22.42424,68.48485,70.30303,93.33334,105.4545,109.0909,118.7879,37.57576,283.0303,144.2424,120,257.5757,125.4545,134.5455,95.15151,90.30303,41.21212
